snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
246,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
247,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
248,1377.0847806,0.0,1377.0846836,0.0,0.0,0.3649717
249,0.0,0.0,6e-06,6e-06,0.0,0.0
250,0.0,0.0,6e-06,6e-06,0.0,0.0
251,0.0,0.0,6e-06,6e-06,0.0,0.0
252,0.0,0.0,6e-06,6e-06,0.0,0.0
253,0.0,0.0,6e-06,6e-06,0.0,0.0
254,0.0,0.0,6e-06,6e-06,0.0,0.0
255,0.0,0.0,6e-06,6e-06,0.0,0.0
256,0.0,0.0,6e-06,6e-06,0.0,0.0
257,0.0,0.0,6e-06,6e-06,0.0,0.0
258,0.0,0.0,6e-06,6e-06,0.0,0.0
259,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
260,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
261,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
262,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
263,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
264,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
265,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
266,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
267,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
268,431.0526904,0.0,431.0524168,6e-06,0.0,0.1142553
269,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
270,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
271,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
272,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
273,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
274,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
275,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
276,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
277,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
278,3.4e-06,0.0,3.4e-06,3.4e-06,0.0,3.4e-06
279,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
280,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
281,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
282,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
283,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
284,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
285,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
286,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
287,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
288,859.9949811,0.0,859.9945851,6e-06,0.0,0.2282303
289,0.0,0.0,6e-06,6e-06,0.0,0.0
290,0.0,0.0,6e-06,6e-06,0.0,0.0
291,0.0,0.0,6e-06,6e-06,0.0,0.0
292,0.0,0.0,6e-06,6e-06,0.0,0.0
293,0.0,0.0,6e-06,6e-06,0.0,0.0
294,0.0,0.0,6e-06,6e-06,0.0,0.0
295,0.0,0.0,6e-06,6e-06,0.0,0.0
296,0.0,0.0,6e-06,6e-06,0.0,0.0
297,0.0,0.0,6e-06,6e-06,0.0,0.0
298,0.0,0.0,6e-06,6e-06,0.0,0.0
299,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
300,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
301,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
302,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
303,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
304,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
305,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
306,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
307,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
308,46.0844539,0.0,46.0844853,0.0,0.0,0.0124967
309,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
310,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
311,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
312,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
313,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
314,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
315,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
316,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
317,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
318,1674.172482,0.0,1674.170738,9.4e-06,0.0,0.4437152
319,0.0,0.0,6e-06,6e-06,0.0,0.0
320,0.0,0.0,6e-06,6e-06,0.0,0.0
321,0.0,0.0,6e-06,6e-06,0.0,0.0
322,0.0,0.0,6e-06,6e-06,0.0,0.0
323,0.0,0.0,6e-06,6e-06,0.0,0.0
324,0.0,0.0,6e-06,6e-06,0.0,0.0
325,0.0,0.0,6e-06,6e-06,0.0,0.0
326,0.0,0.0,6e-06,6e-06,0.0,0.0
327,0.0,0.0,6e-06,6e-06,0.0,0.0
328,0.0,0.0,6e-06,6e-06,0.0,0.0
329,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
330,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
331,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
332,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
333,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
334,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
335,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
336,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
337,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
338,1033.4199907,0.0,1033.4210815,0.0,0.0,0.2736236
339,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
340,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
341,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
342,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
343,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
344,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
345,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
346,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
347,2718.1522044,0.0,2718.1521082,9.4e-06,0.0,0.7202818
348,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
349,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
350,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
351,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
352,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
353,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
354,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
355,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
356,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
357,547.8628375,0.0,547.8627113,6e-06,0.0,0.1451993
358,0.0,0.0,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0,0.0,0.0
367,0.0,0.0,0.0,0.0,0.0,0.0
368,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
369,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
370,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
371,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
372,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
373,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
374,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
375,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
376,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
377,2114.1524158,0.0,2114.1506856,9.4e-06,0.0,0.5600821
378,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
379,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
380,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
381,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
382,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
383,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
384,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
385,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
