snapshot_count,link_A_capacity,link_A_usage_current_value,link_A_usage_rate,link_B_capacity,link_B_usage_current_value,link_B_usage_rate,link_C_capacity,link_C_usage_current_value,link_C_usage_rate,link_D_capacity,link_D_usage_current_value,link_D_usage_rate,link_E_capacity,link_E_usage_current_value,link_E_usage_rate,link_F_capacity,link_F_usage_current_value,link_F_usage_rate
113,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
114,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
115,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
116,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
117,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
118,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
119,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
120,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
121,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
122,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
123,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
124,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
125,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
126,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
127,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
128,10000000.0,7847726966.0,784.7726966,10000000.0,0.0,0.0,10000000.0,7847734306.0,784.7734306,10000000.0,34.0,3.4e-06,10000000.0,0.0,0.0,10000000.0,2077018.0,0.2077018
129,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
130,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
131,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
132,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
133,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
134,10000000.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,60.0,6e-06,10000000.0,60.0,6e-06,10000000.0,0.0,0.0,10000000.0,0.0,0.0
